Product,Rating,Text Length,Review
Product A,5,245,"Great product, fast shipping"
Product B,4,180,Good quality for the price
Product C,,312,"Excellent product, highly recommend"
Product D,3,156,Decent but expected more
Product E,5,278,"Amazing value, works perfectly"
Product F,4,,"Very good, slight delay in delivery"
Product G,2,134,Not impressed with the quality
Product H,5,356,Best purchase I have made this year
Product I,,289,Product arrived damaged
Product J,4,198,"Good overall, minor issues"
Product K,1,89,"Terrible experience, would not buy again"
Product L,5,423,Outstanding product and customer service
Product M,3,167,"Average product, nothing special"
Product N,4,234,Satisfied with my purchase
Product O,,378,Took too long to arrive but product is good
Product P,5,289,Exactly what I was looking for
Product Q,3,145,"It is okay, not great not terrible"
Product R,4,267,Very happy with this purchase
Product S,2,123,Quality could be better
Product T,5,334,Perfect for my needs
Product U,,256,Missing parts in the box
Product V,4,189,"Good product, fair price"
Product W,5,401,"Love it, would buy again"
Product X,3,178,"Does the job, nothing more"
Product Y,4,298,Nice design and functionality
Product Z,1,76,Very disappointed with this item
Product AA,5,367,Exceeded expectations
Product AB,4,,"Works well, easy to set up"
Product AC,3,156,"Ok product, a bit overpriced"
Product AD,5,445,Absolutely fantastic product
Product AE,2,134,Stopped working after a week
Product AF,4,278,Good quality and sturdy
Product AG,,323,Package was opened when received
Product AH,5,389,Best decision I have made
Product AI,3,167,"Mediocre product, needs improvement"
Product AJ,4,245,"Solid product, good value"
Product AK,5,312,"Perfect condition, works great"
Product AL,2,145,Not worth the money spent
Product AM,4,267,Very pleased with this product
Product AN,5,,"Amazing quality, highly recommend"
Product AO,3,189,Expected more for this price point
Product AP,4,334,"Good product, easy to use"
Product AQ,1,98,Complete waste of money
Product AR,5,412,"Wonderful product, fast delivery"
Product AS,4,223,Satisfied with the quality
Product AT,3,,"Average item, as described"
Product AU,5,356,"Excellent product, no complaints"
Product AV,2,167,Not what I expected at all
Product AW,4,289,"Good buy, works as intended"
Product AX,5,378,"Perfect product, love it"
Product AY,3,156,"Just okay, nothing impressive"
Product AZ,4,245,Good quality for the price
Product BA,5,,Exceeded my expectations
Product BB,2,134,"Poor quality, falls apart easily"
Product BC,4,298,"Nice product, good features"
Product BD,,312,Shipping was delayed but product is great
Product BE,5,367,"Amazing product, worth every penny"
